timestamp,x_accel,y_accel,z_accel,label
184281,11908,9800,3080,0
184332,12308,11172,2648,0
184384,12720,10428,3308,0
184435,12976,10084,3000,0
184486,13228,10432,2256,0
184537,11276,9492,2648,0
184588,10872,12860,480,0
184640,12444,12292,1832,0
184691,11744,11708,3116,0
184772,12892,10000,2872,0
184823,11584,10476,2740,0
184874,12912,10492,436,0
184926,11452,12496,2756,0
184977,9116,13352,3860,0
185028,11432,12092,2032,0
185079,11480,13048,3576,0
185130,10224,13904,4272,0
185181,11044,12728,7116,0
185233,9212,12388,3452,0
185284,11308,12364,4788,0
185335,10400,11124,5216,0
185387,11580,11476,4708,0
185438,10416,11640,3760,0
185489,11412,12204,3508,0
185540,10840,12380,3284,0
185591,10532,12200,2496,0
185643,10284,11824,1828,0
185694,10712,11588,1952,0
185745,10436,11504,1528,0
185796,10160,11724,1316,0
185847,10348,12048,1248,0
185898,10384,11948,856,0
185950,11420,11752,1556,0
186001,11144,12040,1744,0
186051,11692,11496,2088,0
186102,11984,10780,1184,0
186153,13728,12140,288,0
186204,13004,10880,-2380,0
186256,13372,11956,-3316,0
186307,12172,11588,-5056,0
186359,11848,10760,-6172,0
186410,11512,10740,-6308,0
186461,11280,10900,-6648,0
186512,10528,10472,-7212,0
186563,9604,9556,-7968,0
186614,9920,9548,-8624,0
186666,8216,9228,-9708,0
186717,8912,10156,-9988,0
186771,6536,9676,-11068,0
186822,6760,10244,-11336,0
186874,5788,10172,-12068,0
186925,3696,8288,-10800,0
186976,364,9736,-11692,0
187027,-444,8964,-12428,0
187078,-2176,7700,-12072,0
187130,-1176,9732,-13448,0
187181,108,9888,-12616,0
187231,-1808,10780,-13432,0
187282,-120,10500,-12804,0
187333,-940,10032,-12476,0
187385,-1184,9952,-12252,0
187436,-1996,9340,-12180,0
187488,-1412,9820,-12416,0
187539,-1748,9380,-12216,0
187590,-840,9092,-12420,0
187641,-428,8588,-12736,0
187692,272,8476,-12644,0
187743,1348,7944,-12460,0
187795,1680,7988,-12244,0
187846,3640,7852,-13040,0
187896,3716,7612,-13544,0
187947,5140,7588,-13780,0
187998,4876,8332,-13808,0
188049,5648,7536,-13860,0
188101,7448,7332,-11820,0
188152,9732,7584,-10492,0
188203,9208,6964,-11996,0
188254,9788,8508,-11580,0
188305,15176,9676,-11348,0
188356,13908,7628,-9904,0
188408,14464,6752,-9048,0
188459,14108,6128,-7908,0
188510,16112,6600,-7392,0
188562,16140,6544,-6504,0
188613,15760,5840,-6912,0
188664,12812,5836,-7052,0
188715,12992,6924,-7160,0
188769,13040,7716,-7084,0
188821,11872,8008,-7508,0
188872,11576,6568,-8228,0
188923,11052,6832,-8860,0
188974,10844,7328,-9448,0
189025,11596,7224,-9816,0
189077,11544,6856,-10108,0
189128,12804,7688,-9112,0
189179,13788,7872,-7908,0
189230,10792,5128,-7388,0
189281,10416,2964,-8576,0
189333,13824,5980,-7188,0
189384,14576,8620,-7184,0
189435,14240,4232,-8404,0
189487,13868,4372,-8380,0
189538,14056,6272,-8320,0
189589,13604,5056,-8372,0
189640,13944,6476,-9300,0
189691,12740,6696,-9636,0
189742,11756,7572,-10420,0
189794,10400,5676,-9828,0
189845,7860,6072,-9744,0
189895,7504,5908,-9024,0
189946,6664,10260,-8224,0
189997,5496,12068,-9152,0
190048,5152,12724,-10012,0
190100,8076,11316,-8916,0
190151,9100,12016,-7848,0
190202,10328,9644,-7380,0
190253,12488,5544,-5756,0
190304,14996,8008,-5060,0
190356,15476,8692,-5612,0
190407,13480,9760,-4568,0
190458,14828,9520,-4308,0
190510,12544,9396,-4520,0
190561,14144,9064,-3688,0
190611,13128,10500,-4288,0
190662,13472,10556,-5136,0
190713,12404,9868,-6568,0
190767,13120,11468,-6624,0
190818,12276,9960,-7548,0
190869,12496,5348,-8016,0
190920,11028,3308,-8692,0
190972,10676,5228,-9868,0
191023,12736,6300,-9376,0
191073,11908,4268,-10268,0
191124,11816,4636,-11216,0
191175,10884,5908,-11864,0
191226,11876,5760,-10716,0
191278,10300,4988,-11236,0
191329,8300,4260,-10816,0
191380,8200,4628,-10824,0
191431,8524,5456,-9180,0
191483,12196,6504,-8260,0
191535,17956,10228,-7092,0
191586,15424,12608,-7544,0
191637,12516,7500,-10260,0
191688,11844,5976,-9060,0
191739,11356,5608,-8912,0
191790,11916,6240,-8692,0
191842,12880,6992,-8340,0
191893,12672,6244,-8704,0
191943,12808,5812,-8792,0
191994,12576,5216,-8940,0
192045,11432,4888,-9400,0
192096,11732,6604,-9564,0
192148,8856,4924,-10976,0
192199,9152,2408,-12104,0
192250,10404,4844,-11972,0
192301,8696,7516,-12440,0
192352,9096,6332,-12588,0
192403,9760,4740,-12712,0
192455,10840,5088,-12024,0
192507,9500,5420,-12976,0
192558,9364,5708,-12540,0
192608,8908,5228,-12420,0
192659,10120,4356,-11916,0
192710,11028,3316,-11324,0
192792,14304,4804,-9572,0
192844,16424,5056,-7396,0
192895,16672,6016,-6412,0
192946,14220,6156,-6572,0
192997,13080,5260,-7180,0
193048,13576,4408,-6124,0
193100,11252,3136,-5584,0
193151,15688,5212,-7476,0
193202,12460,8400,-10420,0
193253,10852,9976,-11748,0
193304,9324,8100,-13028,0
193356,9876,7664,-12384,0
193407,8944,6904,-11260,0
193458,6692,7392,-11316,0
193509,6636,7040,-10752,0
193561,6432,8460,-11144,0
193612,7728,7552,-9796,0
193664,11848,10096,-10824,0
193715,13300,6244,-9980,0
193765,12112,3440,-10232,0
193816,10764,5352,-10884,0
193867,10196,7012,-10724,0
193918,12100,8176,-10412,0
193970,10364,8956,-10896,0
194021,8916,8980,-11380,0
194072,9416,9008,-11220,0
194123,9248,9852,-10908,0
194174,8736,9520,-11300,0
194225,6912,9504,-11212,0
194277,5248,7096,-12024,0
194328,5508,6328,-12280,0
194379,6260,7752,-12672,0
194430,8248,9484,-12324,0
194481,9120,11532,-11948,0
194532,7804,8004,-12120,0
194584,6616,6600,-13280,0
194636,8888,7304,-12644,0
194687,10652,7720,-11436,0
194738,6808,8336,-12148,0
194792,7900,8712,-13056,0
194844,6564,10888,-10900,0
194895,4832,10624,-10948,0
194946,4644,9024,-10960,0
194997,4152,7628,-12672,0
195048,4460,7512,-13104,0
195100,3112,7688,-13416,0
195151,4244,7440,-12744,0
195202,4964,7176,-12712,0
195253,9328,5952,-13992,0
195304,14144,8160,-11888,0
195356,15720,5248,-9376,0
195407,16048,3756,-9360,0
195458,13388,3988,-9572,0
195509,12684,3192,-9896,0
195560,11924,5428,-9632,0
195612,11264,5728,-9752,0
195664,11156,5368,-10048,0
195715,9004,5432,-10876,0
195766,8480,5712,-11392,0
195817,9108,6328,-11388,0
195868,9188,7104,-11844,0
195919,8292,6928,-12592,0
195971,7892,6812,-12476,0
196022,7680,7540,-12296,0
196073,8004,7212,-11872,0
196124,10744,7144,-12036,0
196175,12200,8504,-11524,0
196226,11756,7136,-9384,0
196278,9544,5384,-8592,0
196329,9732,6376,-9268,0
196380,10680,8712,-10396,0
196431,11612,8008,-11184,0
196482,10744,6584,-11040,0
196533,8496,7292,-10824,0
196585,9704,8132,-10188,0
196636,8748,7988,-9864,0
196687,9468,7064,-9292,0
196738,10464,6816,-9308,0
196793,12500,9048,-9604,0
196844,11964,10276,-10192,0
196895,12576,10424,-9496,0
196947,10728,6456,-9296,0
197002,12332,6084,-9656,0
197053,12108,7892,-10580,0
197105,10524,6552,-10928,0
197156,11156,6724,-10692,0
197207,8336,7884,-12068,0
197258,5676,7592,-12732,0
197309,6052,7648,-12076,0
197361,6808,8616,-10972,0
197412,6196,9248,-11516,0
197463,6168,9640,-12060,0
197514,5576,10332,-12008,0
197565,5044,10384,-12832,0
197616,4916,10292,-12428,0
197669,3784,10168,-13612,0
197720,4160,10144,-13616,0
197770,3248,10052,-14700,0
197821,4040,9932,-13276,0
197872,2804,9804,-13320,0
197923,2824,10060,-11620,0
197975,4316,9776,-10408,0
198026,2436,9296,-10464,0
198077,2476,8836,-10492,0
198128,2516,8484,-9280,0
198179,3604,9180,-8820,0
198230,2600,10744,-6376,0
198282,2864,11560,-6392,0
198333,4648,12852,-3880,0
198384,7212,16652,-6036,0
198435,8636,16220,-5320,0
198486,8312,15788,-6680,0
198537,7512,17428,-6296,0
198589,9552,16300,-5072,0
198640,9976,13688,-2796,0
198692,9684,15200,-1652,0
198743,8688,14520,-352,0
198797,7544,14336,-508,0
198848,8628,15140,244,0
198900,6412,15780,-1292,0
198951,5732,15928,-1464,0
199002,6016,15860,-1924,0
199053,6372,15800,-1188,0
199104,6824,16148,-1916,0
199155,6516,16336,-2812,0
199207,7236,16504,-2560,0
199258,7944,15800,-2528,0
199309,7112,15472,-2668,0
199360,7456,15008,-2804,0
199411,7592,14360,-2640,0
199462,7600,14240,-3412,0
199514,7388,13856,-3100,0
199565,7840,14412,-3260,0
199616,7032,11888,-4836,0
199667,7140,12568,-5916,0
199719,7308,12496,-6564,0
199770,6476,12636,-6544,0
199822,6952,12140,-6244,0
199873,6612,11660,-6068,0
199924,7140,12000,-5708,0
199975,8200,11800,-5036,0
200026,7820,12420,-5620,0
200078,8440,12844,-5688,0
200129,8664,12440,-5532,0
