TIMESTAMP,ECG,MOVEMENT
134129,32583,1.02
134231,32311,1.014
134333,32439,1.012
134435,32535,1.022
134537,32439,1.015
134639,32583,1.007
134741,32615,1.008
134843,32471,1.015
134945,32279,1.01
135047,32343,1.013
135150,32599,1.022
135252,32439,1.014
135354,32615,1.006
135456,32487,1.013
135558,32439,1.013
135660,32519,1.003
135762,32503,1.01
135864,32487,1.02
135966,32391,1.025
136068,32647,1.019
136171,32423,1.007
136273,32519,1.008
136375,32407,1.013
136477,32519,1.001
136579,32391,1.009
136681,32647,1.023
136783,32423,1.016
136885,32407,1.003
136987,32407,1.009
137089,32359,1.025
137192,32471,1.016
137294,32551,1.021
137396,32519,1.023
137498,32487,1.016
137600,32423,1.018
137702,32439,1.009
137804,32343,1.008
137906,32471,1.0
138008,32856,1.012
138111,32471,1.045
138213,32471,0.995
138315,32519,0.991
138417,32567,1.02
138519,32471,0.995
138621,32968,1.02
138723,32439,1.029
138825,32423,0.949
138927,32535,1.011
139029,32455,1.03
139132,32455,1.046
139234,32535,1.025
139336,32567,1.009
139438,32599,1.011
139540,32695,1.009
139642,32503,1.019
139744,32519,1.02
139846,32455,1.02
139948,32519,1.025
140050,32439,1.013
140153,32359,1.028
140255,32503,1.022
140357,32519,1.009
140459,32647,1.014
140561,32535,1.023
140663,32519,1.007
140765,32391,1.038
140867,32647,1.019
140969,32439,1.008
141071,32471,1.016
141174,32295,1.0
141276,32567,1.013
141378,32407,1.008
141480,32423,1.009
141582,32535,1.016
141684,32519,1.018
141786,33176,1.012
141888,32808,1.002
141990,32455,1.043
142092,32423,0.93
142195,32519,1.054
142297,32776,0.966
142399,32471,1.003
142501,32455,0.997
142603,32423,1.067
142705,32471,0.987
142807,32519,0.99
142909,32327,1.017
143011,32327,1.018
143114,32583,1.025
143216,32359,1.0
143318,32407,1.015
143420,32455,0.95
143522,32535,1.019
143624,32519,1.012
143726,32439,1.03
143828,32567,0.996
143930,32471,0.974
144032,32551,0.982
144135,32471,1.012
144237,32615,1.027
144339,32856,1.021
144441,32423,1.011
144543,32599,1.024
144645,32503,1.016
144747,32551,1.001
144849,32455,1.012
144951,32407,1.003
145053,32551,1.004
145156,32599,1.019
145258,32519,1.012
145360,32567,1.009
145462,32599,1.026
145564,32439,1.035
145666,32519,1.018
145768,32567,1.006
145870,32695,1.014
145972,32535,1.013
146074,32471,1.023
146177,32535,1.024
146279,32471,1.012
146381,32407,1.016
146483,32551,1.015
146585,32599,1.014
146687,32423,1.019
146789,32535,1.011
146891,32840,1.015
146993,32535,1.019
147095,32455,1.01
147198,32519,1.011
147300,32519,1.011
147402,32727,1.013
147504,32535,1.007
147606,32519,1.005
147708,32487,1.016
147810,32647,1.017
147912,32583,1.016
148014,32872,1.016
148117,32519,1.008
148219,32487,1.019
148321,32471,1.022
148423,32535,1.026
148525,32583,1.013
148627,32471,1.005
148729,32503,1.017
148831,32455,1.017
148933,32599,1.015
149035,32423,1.017
149138,32471,1.007
149240,32583,1.008
149342,32407,1.009
149444,32567,1.015
149546,32471,1.017
149648,32551,1.013
149750,32391,1.013
149852,32920,1.016
149954,32487,1.012
150056,32423,1.014
150159,32455,1.012
150261,32439,1.011
150363,32471,1.013
150465,32519,1.017
150567,32407,1.017
150669,32583,1.016
150771,32407,1.015
150873,32455,1.018
150975,32583,1.008
151077,32583,1.01
151180,32583,1.013
151282,32535,1.015
151384,32551,1.019
151486,32343,1.018
151588,32695,1.014
151690,32471,1.017
151792,32679,1.015
151894,32663,1.014
151996,32439,1.01
152098,32519,1.013
152201,32519,1.011
152303,32663,1.014
152405,32343,1.013
152507,32808,1.017
152609,32551,1.025
152711,32519,1.01
152813,32535,1.003
152915,32471,1.03
153017,32391,1.014
153120,32487,1.021
153222,32343,1.015
153324,32567,1.009
153426,32519,1.018
153528,32487,1.002
153630,32487,1.002
153732,32471,1.011
153834,32503,1.02
153936,32471,1.014
154038,32776,1.01
154140,32407,1.006
154242,32535,1.005
154344,32583,1.017
154446,32519,1.019
154548,32583,1.018
154650,32487,1.02
154752,32551,1.007
154854,32487,1.013
154956,32487,1.012
155058,32455,1.016
155161,32455,1.013
155263,32599,1.002
155365,32615,1.005
155467,32727,1.019
155569,32519,1.024
155671,32599,1.009
155773,32615,1.012
155875,32455,1.021
155977,32423,1.014
156079,32375,1.015
156182,32423,1.011
156284,32263,1.006
156386,32535,1.012
156488,32599,0.988
156590,32487,1.008
156692,32567,1.006
156794,32535,1.005
156896,32599,1.016
156998,32407,1.016
157100,32471,1.018
157203,32423,1.016
157305,32343,1.02
157407,32519,1.019
157509,32423,1.015
157615,32407,1.019
157717,32471,1.009
157819,32551,1.017
157921,32439,1.021
158023,32567,1.01
158126,32583,1.012
158228,32423,1.013
158330,32583,1.012
158432,32471,1.021
158534,32535,1.014
158636,32487,1.015
158738,32455,1.012
158840,32567,1.013
158942,32599,1.01
159044,32455,1.008
159147,32599,1.012
159249,32439,1.014
159351,32471,1.013
159453,32615,1.016
159555,32455,1.014
159657,32423,1.019
159759,32359,1.016
159861,32551,1.01
159963,32439,1.007
160065,32359,1.013
160168,32471,1.015
160270,32615,1.015
160372,32487,1.023
160474,32647,1.011
160576,32455,1.011
160678,32535,1.016
160780,32519,1.017
160882,32711,1.02
160984,32567,1.007
161086,32519,1.022
161189,32663,1.013
161291,32583,1.01
161393,32679,1.013
161495,32583,1.01
161597,32423,1.012
161699,32407,1.01
161801,32551,1.016
161903,32695,1.006
162005,32471,1.015
162108,32391,1.011
162210,32535,1.019
162312,32551,1.012
162414,32535,1.006
162516,32487,1.014
162618,32407,1.013
162720,32519,1.012
162822,32359,1.012
162924,32535,1.01
163026,32503,1.014
163129,32519,1.007
163231,32455,1.009
163333,32423,1.009
163435,32535,1.011
163537,32567,1.015
163639,32551,1.013
163741,32439,1.038
163843,32455,1.035
163945,32599,1.025
164047,32551,1.01
164150,32743,1.131
164252,32615,0.963
164354,32519,0.992
164456,32391,0.989
164558,32615,1.019
164660,32471,1.027
164762,32535,0.986
164864,32471,0.999
164966,32567,1.027
165068,32647,0.954
165171,32439,1.0
165273,32471,1.094
165375,32375,0.952
165477,32551,1.077
165579,32535,1.058
165681,32599,1.055
165783,32711,1.061
165885,32535,1.105
165987,32455,0.999
166089,32407,1.07
166192,32519,1.019
166294,32471,0.978
166396,32567,0.701
166498,32423,0.882
166600,32535,1.159
166702,32535,1.047
166804,32599,1.071
166906,32824,1.036
167008,32535,1.012
167111,32551,0.982
167213,32487,1.012
167315,32519,1.005
167417,32487,1.033
167519,32439,0.999
167621,32599,1.031
167723,32647,1.023
167825,32535,1.017
167927,32503,1.009
168029,32359,1.01
168132,32583,1.005
168234,32359,1.014
168336,32423,1.011
168438,32872,1.017
168540,32455,1.001
168642,32471,1.012
168744,32551,1.01
168846,32503,1.011
168948,32343,1.014
169050,32407,1.014
169153,32567,1.01
169255,32407,1.009
169357,32455,1.007
169459,32551,1.009
169561,32615,1.01
169663,32423,1.016
169765,32439,1.008
169867,32423,1.005
169969,32535,1.011
170071,32615,1.005
170174,32391,1.005
170276,32535,1.003
170378,32455,1.009
170480,32439,1.006
170582,32407,1.009
170684,32471,1.011
170786,32455,1.006
170888,32263,1.013
170990,32551,1.013
171092,32599,1.008
171195,32872,1.004
171297,32519,1.002
171399,32551,1.008
171501,32471,1.008
171603,32519,1.012
171705,32776,1.006
171807,32519,1.009
171909,32471,1.009
172011,32407,1.008
172114,32439,1.005
172216,32679,1.005
172318,32535,1.011
172420,32663,1.006
172522,32711,1.005
172624,32439,1.009
172726,32359,1.009
172828,32487,1.014
172930,32583,1.008
173032,32904,1.008
173135,32343,1.014
173237,32503,1.007
173339,32519,1.008
173441,32471,1.008
173543,32535,1.008
173645,32535,1.011
173747,32551,1.01
173849,32551,1.008
173951,32551,1.006
174053,32647,1.005
174156,32583,1.006
174258,32599,1.007
174360,32311,1.009
174462,32551,1.009
