Timestamp(ms),Raw_ECG,Threshold
2274,32023,48000
2284,32727,48000
2294,32295,48000
2304,31559,48000
2314,29943,48000
2324,28951,48000
2334,29463,48000
2344,29527,48000
2354,29207,48000
2364,29143,48000
2374,29783,48000
2384,29975,48000
2394,29143,48000
2404,32551,48000
2414,44394,48000
2424,51820,48000
2434,22725,48000
2444,17700,48000
2454,31943,48000
2464,31271,48000
2474,31847,48000
2484,32936,48000
2494,31623,48000
2533,33288,48000
2544,34408,48000
2554,36616,48000
2564,34264,48000
2574,35016,48000
2584,36921,48000
2594,37945,48000
2604,39129,48000
2614,40409,48000
2624,41290,48000
2634,41530,48000
2644,42650,48000
2654,41018,48000
2664,38569,48000
2674,33944,48000
2684,30935,48000
2694,29143,48000
2704,28278,48000
2714,27990,48000
2724,28134,48000
2734,27446,48000
2744,27430,48000
2754,28102,48000
2764,28614,48000
2774,27974,48000
2784,28582,48000
2794,28679,48000
2804,28983,48000
2814,29767,48000
2824,29527,48000
2834,29911,48000
2844,29719,48000
2854,30055,48000
2864,30359,48000
2874,30679,48000
2884,30439,48000
2894,30887,48000
2904,30631,48000
2914,30519,48000
2924,31015,48000
2934,31271,48000
2944,32295,48000
2954,33352,48000
2964,33512,48000
2974,34360,48000
2984,32391,48000
2994,31079,48000
3004,30615,48000
3014,30567,48000
3024,30695,48000
3034,30887,48000
3044,31239,48000
3054,31191,48000
3064,30951,48000
3074,30807,48000
3084,32327,48000
3094,41834,48000
3104,53997,48000
3114,33576,48000
3124,16179,48000
3137,33608,48000
3148,32856,48000
3158,33944,48000
3168,33160,48000
3178,33944,48000
3188,33784,48000
3198,34536,48000
3208,34408,48000
3218,35656,48000
3228,34504,48000
3238,35768,48000
3248,36616,48000
3258,37721,48000
3268,38121,48000
3278,39097,48000
3288,39353,48000
3298,42042,48000
3308,42330,48000
3318,42458,48000
3328,42490,48000
3338,42202,48000
3348,36696,48000
3358,34920,48000
3368,31559,48000
3378,29543,48000
3388,29143,48000
3398,29031,48000
3408,28566,48000
3418,28646,48000
3428,28999,48000
3438,29367,48000
3448,28630,48000
3458,29463,48000
3468,29767,48000
3478,30279,48000
3488,29671,48000
3498,30295,48000
3508,30727,48000
3518,30743,48000
3528,30519,48000
3538,31319,48000
3548,31047,48000
3558,31815,48000
3568,31751,48000
3578,31767,48000
3588,31447,48000
3598,31639,48000
3608,31303,48000
3618,31367,48000
3628,31111,48000
3638,31463,48000
3648,31591,48000
3658,32039,48000
3668,31559,48000
3678,32119,48000
3688,32663,48000
3698,33272,48000
3708,34584,48000
3718,34536,48000
3728,34248,48000
3741,32679,48000
3752,31319,48000
3763,31575,48000
3773,31303,48000
3783,31383,48000
3793,31159,48000
3803,31895,48000
3813,31303,48000
3823,31367,48000
3833,32439,48000
3843,41578,48000
3853,53965,48000
3863,38153,48000
3873,16323,48000
3883,31575,48000
3893,33864,48000
3903,33096,48000
3913,33736,48000
3923,33432,48000
3933,33720,48000
3943,34296,48000
3953,34248,48000
